   1 0	Yes
   1 bombings	terrorist activity
   1 botID	parameter
   1 both official work accounts	major global news outlets
   1 botnets	cyber attacks
   1 botnets	types
   1 brand	handset metadata
   2 breach readiness	issues
   1 browser	details
   1 browser fingerprinting	actions
   1 browser plugins	Internet data
   1 buffer	exploits
   1 buffer overflows	techniques
   1 bug	years
   1 business contracts	data
   1 business plans	intellectual property
   1 business plans	valuable intellectual property
   1 businesses	victims
   1 bytes	initial handshake
   1 bytes	integers
   1 bytes	result
   1 bytes	the format differs
   1 bytes	the header
   1 bytes	the header RHOST X
   1 bytes	the size
   1 calendar data	data
   1 call state	network metadata
   1 campaign	samples
   2 campaign identifiers	artifacts
   1 capabilities	a 
   1 capabilities	a control
   1 capabilities	a means
   1 capability	a reverse shell
   1 capability	standard
   1 capture messages	materials
   1 capture network traffic	information
   1 cars	US electronics
   1 cartoons	Arabic text
   1 case studies	instances
   1 cases	testimony
   1 cell phone IMEI	systems
   1 certificate fields	SNI field domain name
   1 changes	appropriate
   1 character	a payload run type
   1 character	a separator
   1 characterizations	the fundamental first step
   1 characters	the register
   1 child pornography	activities
   1 child pornography	contraband data
   1 classification	a stand
   1 classified government networks	networks
   1 cleanroom molding	manufacturing processes
   1 clearance documents	sensitive information
   1 cleartext byte	the key
   1 client	shellcode
   1 client protection	tasks
   1 cnmilit	The weaponised document sites
   1 code	a specialized assembly
   1 code	features
   1 code execution	components
   1 code flow obfuscation	malware
   1 code injection	tactics
   1 cognitive dissonance	elements
   1 com	the location
   1 command	phases
   1 command parsing	purposes
   1 command shell interaction	features
   1 commands	Administrator
   1 commands	Babar
   1 commands	Detatch Checkbox Specifies
   1 commands	administrator
   1 commands	data
   1 commands	root
   1 commercial software	a service
   1 common command	parameters
   1 common news	individuals
   1 communication	purposes
   1 communications	operations
   1 communications	threat model
   1 companies	defense sectors
   1 companies	lures
   1 companies	stocks
   1 company Y	a client
   1 comparison	IO data
   1 complex	the codebase
   1 components	The underlying infrastructure
   1 components	variants
   1 compression	versions
   2 compression	functionality
   2 compression	methods
   1 compromised infrastructure	suspected Russian cyber operations
   1 computer	a half
   1 computer	a proxy server
   1 computer PASSWORDS Brother	mp
   1 computer antivirus	protection measures
   1 computer name	contains information
   1 computer name	gathers system information
   1 computer name	information
   1 computer name	the client
   1 computer network operations	an integral part
   1 computer restart DustySky	Trojan backdoor
   1 computer security	Concepts
   1 computer technology	certain technology
   1 computer viruses	illegal computer access
   2 computer name	system information
   1 computers	US electronics
   1 computers	limited
   1 computers	networks
   1 computers	part
   1 computers	resources
   1 computers	the internal network
   1 conamail	domains
   1 concentrations	a much wider geographic area
   1 conduct	forms
   1 conference	bait Exploit
   2 conference	bait
   1 conferences	social engineering bait
   1 confidential financial data	valuable information
   1 confidential information	deals
   1 config	X
   1 configuration	strings
   1 configuration data	variant A
   1 constants	every string
   1 construction companies	organizations
   1 consultants	a business deal
   1 consultants companies	parties
   1 contact details	Strategic information
   1 contact lists	data
   1 contact lists	intellectual property
   1 contact lists	valuable intellectual property
   1 contacts	materials
   1 continued use	a payload
   1 contractors	factor authentication
   1 contractors	the target organization
   1 control	RPC
   1 control	a text file
   1 control	phases
   1 control centers	tweets
   1 control server	a text file
   1 control server	part
   1 controllers	servers
   1 controllers	types
   2 controls	ActiveX controls
   1 conventions	OnionDuke
   1 cookies	all header information
   1 cookies	content
   1 cookies	the user agent
   1 copious bandwidth	resources
   1 copy file	commands
   1 core DustySky Core	Trojan backdoor
   1 corporations	organizations
   1 corruption	crimes
   1 corruption	legitimacy
   1 counterfeit currency production	terrorist activity
   1 counterintelligence organisations	anyone
   1 counters	analytics
   1 countries	countries
   1 countries	organizations
   1 countries	part
   1 country	system information
   1 country	the chief
   1 creation	a system file
   1 creative phishing	effective compromise
   1 credential phishing	part
   1 credentials	Data
   1 credentials	a platform
   1 credentials	an elite hacker group
   1 credentials	information
   1 credit card details	sensitive information
   1 credit card fraud	activities
   1 credit card fraud	the world
   1 credit card numbers	systems
   1 credit card theft	high bandwidth
   1 crime	actors
   2 crimes	activities
   1 criminal gain	hackers
   1 critical infrastructure	businesses
   1 critical infrastructure	domains
   1 critical infrastructure	part
   1 critical infrastructure	sectors
   1 critical infrastructure components	communications
   1 cryptcat	world
   1 crypting	obfuscation
   1 cryptocurrencies	instruments
   1 cryptocurrency exchanges	companies
   1 cryptocurrency markets	currency markets
   1 current code page File	system information
   1 custom file transfer tools	the victim network
   1 custom objects	data structures
   1 customers	organizations
   1 customers	stakeholders
   2 cve	Microsoft Internet Explorer
   1 cyber	a separate domain
   1 cyber	a tool
   1 cyber	domains
   1 cyber	the medium
   1 cyber	warfare
   1 cyber attacks	a tool
   1 cyber attacks	a way
   1 cyber attacks	force
   1 cyber attacks	tools
   1 cyber capabilities	part
   1 cyber defense matures	public awareness
   1 cyber defense operations	the new adaptive security posture
   1 cyber espionage	each term
   1 cyber espionage attacks	command
   1 cyber security	security
   1 cyber security strategies	the threat evolves
   1 cyber spillover	something
   1 cyber warfare	a distinct form
   1 cyber warfare	an asymmetric tactic
   1 cyber warfare program	the regime
   1 cyberattacks	a weapon
   1 cybercriminals	a source
   1 cybercriminals	stripes
   1 cyberespionage	cases
   1 cybersecurity incidents	any suspicious activity
   1 cyberspace	the strategic fulcrum
   1 cyberspace functions	the main medium
   2 cyberspace	a strategic domain
   1 cyberspies	tensions
   1 d	C code
   1 d	code
   1 d0ta010	accounts
   1 damanhealth	domains
   1 data	a result
   1 data	a token
   1 data	belonging
   1 data	close
   1 data	the victim host
   1 data activity	network metadata
   1 data blobs	a file
   1 data breaches	crisis events
   1 data destruction	CEC
   1 data set	C2 IPs
   1 data state	network metadata
   1 data the same way	the former version
   1 data warehouses	types
   2 data protection	issues
   1 database server	servers
   1 date	conditions
   1 date none	attacks
   1 dates	Legspin backdoor
   1 datestamps	data
   1 day	criteria
   1 decoy	files
   1 defacements	Ukraine
   1 defacements	a nuisance
   1 defacements	incidents
   1 defence data	China
   1 defense	Mitigation strategies
   1 defense	areas
   1 defense	industries
   1 defense attaches	Soviet Union
   1 defense contractors	organizations
   1 delete file	file management
   1 deliberate targeting	capabilities
   1 demonstrations	forms
   1 denial	purposes
   1 depth	full comprehension
   1 descriptions	manufacturing procedures
   1 design documents	intellectual property
   1 design specifications	documents
   1 destructive malware	North Korea
   1 details	Gather system information
   1 detection	W32
   1 detection	plugins
   1 detection protection mechanisms	an anti
   2 detects CloudDuke	Trojan W32
   1 deter deconstruction	nothing
   1 developers	Servant Shell
   1 development	China
   1 development	industries
   1 development framework	part
   1 development process	rapid succession
   1 device	SIM state
   1 device drivers	level system code
   1 device software version	network metadata
   1 different attack groups	the diagram
   1 different group names	a false flag
   1 different special handle values	commands
   1 direct delivery	an attachment
   1 directory	Facilitates file system access
   1 directory	Facilitates filesystem access
   1 disappearances	abuses
   1 disinformation	attacks
   1 disinformation	modern information operations
   1 disk	parameters
   1 disk space	the computer
   1 disparate	issues
   1 displacement James Fisher Aerospace	performance parameters
   1 display	handset metadata
   1 dissidents	Soviet Union
   1 distributed denial	cyber techniques
   1 distribution kits	the gaming content
   1 document	a decoy
   1 document	details
   1 document capture	features
   1 document exfiltration	components
   1 document sharing	the target organization
   1 document viewers	applications
   1 documents	a delivery mechanism
   1 documents	attachments
   1 documents	computer
   1 documents	data
   1 documents	droppers
   1 documents	files
   1 documents	files This module
   1 documents	steals documents
   1 documents	victim data
   1 domain name	information
   1 domain name registration data	attribution
   1 domain names	APT1 indicators
   1 domain names	s operation
   1 domains	C2 servers
   1 domains	command
   1 domains	fallbacks
   1 domains	indicators
   1 domains	infrastructure
   1 domains	pivot points
   1 domestic production	a means
   1 domestic stability	factors
   1 dots	characters
   1 dots	filler
   1 doubles	a current state record
   1 download network traffic	innocuous user activity
   2 download	tools
   1 downloaders	utilities
   1 downloading	functions
   1 downloading	systems
   1 downloading files	functions
   1 downloads	a means
   1 dozen	companies
   1 dream	themes
   1 driver	components
   1 drivers A1D210B76D5EDA0FA165AFEF79C366FA Note	samples
   1 drives	a means
   1 drives	drives
   1 droppers	utilities
   1 drug	challenges
   1 drug smuggling	activities
   1 drug trafficking	crimes
   1 duia	Dynamic DNS provider
   1 dynamic link library	executable file
   1 dynamic link library a special sort	program file
   1 dynamic string reassembly	obfuscation techniques
   1 each attack	a method
   1 ease	attackers
   1 eastward expansion	a threat
   1 economic espionage	crisis events
   1 economic pressure	tools
   1 economics	issues
   1 education	other defense mechanisms
   1 education campaigns	the community
   1 effective defense	services
   1 elections	tensions
   1 electricity	stocks
   1 electronic warfare	tools
   1 electronics	systems
   1 email	a data exfiltration method
   1 email	an attack vector
   1 email	an initial infection vector
   1 email	communications mechanism
   1 email	data
   1 email	sensitive information
   1 email	services
   1 email	systems
   1 email	the number
   1 email address	tasks
   1 email address	things
   1 email addresses	the keylogger records data
   1 email content	the phishing lure
   2 email	a vector
   2 email	an attachment
   5 email	the primary threat vectors
   1 emails	an archive ASERT
   1 emails	forms
   1 emails	infrastructure
   1 emails	intellectual property
   1 emails	items
   1 emails	sensitive information
   1 emails	valuable intellectual property
   3 emails	data
   1 embassies	the world
   2 embassies	entities
   2 embassies companies	institutions
   1 employees	data
   1 employees	the target organization
   1 employment history	content
   1 employment information	items
   1 encryption	versions
   1 encryption R	issues
   1 encryption keys	features
   1 encryption keys	strings
   2 encryption	functionality
   2 encryption	methods
   2 encryption keys	the infected system
   1 endpoint solution	products
   1 endpoint threat detection tools	part
   2 energy	sectors
   3 energy	industries
   1 enterprise firewalls	measures
   1 entities	attack targets
   1 enumeration	the target system
   1 environment checks	detection
   1 environments	a result
   1 espionage	capabilities
   1 espionage	objectives
   1 espionage	purposes
   1 etc	similar kind
   1 example	a good security practice
   1 example	frames
   1 example	payloads
   1 example code	another source
   1 examples	data
   1 exceptions	the comprehensive application
   1 exclusiveness	assets
   1 executables	actions
   1 execute file	file management
   1 execution	systems
   1 execution	the infostealer
   1 executions	other retaliation
   1 executives	entities
   1 executives	stakeholders
   1 exfiltration	phases
   1 exhortations	a malicious email
   1 exile groups	actors
   1 exiles	dissidents
   1 existence	targeted espionage
   1 exploit repurposing	other unexpected threat actor interactions
   1 exploitation	phases
   1 exploits	a means
   1 exploits	an infection vector
   1 exploits	hxxp
   1 exploits	tactics
   1 exploits	the actor
   1 exploits	the same time
   1 export prohibitions	sanctions
   2 export	msvci
   1 exports the same function	the legitimate msi
   1 extensive fingerprinting	measures
   1 eyes	themes
   1 fact	Sunday
   1 fact	a sign
   1 fact the file	Windows Screensaver
   1 factor	a default
   1 fake news apps	apps
   1 family members	dissidents
   1 family members	the target
   1 fascinationwith cyber attacks	a cost
   1 favor	threat trackers
   1 fields	diverse
   1 figures	Soviet Union
   1 file	BASH script sh
   1 file	DarkShell DDOS trojan
   1 file	Flash video file
   1 file	Trojan
   1 file	an integer number
   1 file	commands
   1 file	cyberattacks
   1 file acts	the installer
   1 file extension	conditions
   1 file harvesting	tasks
   1 file listing	components
   1 file manager	commands
   1 file names	the phishing lure
   1 file servers	servers
   1 file time matching	functionality
   1 file transfer	functionality
   1 file transferring	RATs
   1 file transfers	RATs
   2 file explorer	operations
   2 file management	RAT functionality
   2 file size	files
   1 filenames	Butterfly attackers
   1 filenames	locations
   1 filenames	things
   1 files	Cpu
   1 files	PoS malware
   1 files	SPACESHIP
   1 files	attachments
   1 files	bait
   1 files	engineering files
   1 files	image
   1 files	industrial control systems
   1 files	information
   1 files	input
   1 files	malware
   1 files	records
   1 files	services
   1 files	the attack
   1 files IPs	the standard
   2 files	WS
   5 files	the primary threat vectors
   1 finance	sectors
   1 finance	topics
   1 financial crime	operations
   1 financial information	sensitive information
   1 financial theft	motivations
   1 find file	file management
   1 findings	an indictment
   1 fingerprints	evidence
   1 fire support systems	technologies
   1 fires	events
   1 firewall configuration changes	interest
   1 firewalls	basic security measures
   1 firewalls	network devices
   1 firewalls	traditional security defenses
   1 first	platforms
   1 flash exploit	HEUR Exploit
   1 floods	events
   1 fly	themes
   1 folder	iexplore
   1 folder content	email attachment Validate
   2 foreign	Clinton presidency
   2 foreign policy	desirable national policy information
   1 forensics	the only method
   1 form grabber	Features
   1 formulas	intellectual property
   1 forums	an application
   1 forums	channels
   1 forums	watering holes
   1 foundations	NGO 
   1 fourteen Notable Activity	terminating processes
   1 fraggle attacks	attacks
   1 fraud	motivations
   1 free web hosting services	the free hosting servers
   1 freedom	rights issues
   1 frequency converter drives	slaves
   1 friends	the target
  42 full indicator	details
   1 function	a basic reconnaissance tool
   1 function	a work environment
   1 function	labels
   1 function	privateers
   1 functionality	time
   1 functions	a parameter
   1 functions	parts
   1 functions	samples
   1 funds	Financial organizations
   1 games	a medium
   1 games	elements
   1 gas	stocks
   1 gas company	industries
   1 gas industry	targets
   1 gas pipelines	facilities
   1 gas pipelines	multiple industrial control industries
   1 gas producers	energy companies
   1 geometry	a necessary skill
   1 government	Myanmar
   1 government	groups
   1 government	operators
   1 government	organisations
   1 government	organizations
   1 government	sectors
   1 government	targets
   1 government	years
   1 government agencies	entities
   1 government ministries	organizations
   1 government networks	locations
   1 government officials	Ukrainians
   2 government ministries	entities
   1 governments	Soviet Union
   1 governments	anyone
   1 governments	organisations
   1 governments	organizations
   1 governments	stakeholders
   1 governments	the adversary
   2 governments	victims
   1 gradual irrelevance	people
   1 great concern	the first stage attack
   1 green	Year Plan
   1 group management policies	information
   2 groups	individuals
   2 gsecdump	tools
   1 guidelines	information
   1 guohui	words
   1 hacker profiles	s operation
   1 hacker tactics	suspected Russian cyber operations
   1 hackers	part
   1 hacking tools	available software
   1 hacking tools	content
   1 hacks	methods
   1 hacktivism	a commonplace element
   1 hacktivist	actors
   1 hacktivists	years
   1 half	much malware
   1 handshake	HTTP
   1 hardware	a means
   1 hardware	handset metadata
   1 harsh sentencing	sanctions
   1 hashes	indicators
   6 healthcare	industries
   1 heart	TeamSpy
   1 heating	technologies
   1 heavy use	applications
   1 hermeneutic endeavour	researchers interpret sparse
   1 hexadecimal representation	a string
   1 high infection rates	Figure
   1 high level	victims
   1 high level government	ICS construction
   1 high precision manufacturing	industries
   1 high quality output	part
   1 hinder reverse engineering	means
   1 home	network devices
   1 home routers	devices
   1 hops	resources
   1 host name	system information
   1 hostname	Collect system information
   1 hosts	C
   1 hosts	command
   1 hours	the hacker group
   1 http	Middle Eastern media organizations
   1 http	connectback looks
   1 https	example something
   1 human trafficking	challenges
   1 hunting	an active defense
   2 hxxp	servers
   1 iDirect	services
   1 iOS	platforms
   1 icon insertion	configuration settings
   1 identity	the malware author
   1 identity theft	activities
   1 illegal access	issues
   1 illegal drug manufacturing	terrorist activity
   1 image	words
   1 image files	the phishing lure
   1 images	files
   1 impersonation	local user
   1 implementation	code
   1 implements SSL	Yahoo
   1 important detail	the forensic value
   1 imprisonment	UAE
   1 improved communication	technologies
   1 incident handling	activities
   1 incident response	services
   1 independent sensing	IO data
   1 indicators	fact
   1 indicators	s operation
   1 indicators	threat intelligence
   1 individuals	Organizations
   1 individuals	spies
   1 industrial control networks	critical infrastructure firms
   1 industry	a whole
   1 infected system the payload	PE32
   1 infection	a way
   1 infection	incidents
   1 infections	a whole
   2 info leakage	vulnerabilities
   1 information	a matter
   1 information	a result
   1 information	authority
   1 information	data theft
   1 information	error
   1 information	group
   1 information	parameters
   1 information	technology companies
   1 information	the planned hack
   1 information	use
   1 information	victims
   1 information assets	targets
   1 information campaigns	Ukraine
   1 information gathering	actions
   1 information gathering	purposes
   1 information gathering	tasks
   1 information leaks	incidents
   1 information operations	hybrid warfare
   1 information operations	tools
   1 information security	Concepts
   1 information security officer	management
   1 information security topics	content
   1 information technology	areas
   2 information	a weapon
   1 informationization	the goal
   1 infrastructure	Ukrainian cyberspace
   1 infrastructure	resources
   1 infrastructure components	factors
   1 initiative	DHS effort
   1 inline	comments
   1 innocent game	a force multiplier
   1 inquiry	a whole
   1 insertion	classic obfuscation techniques
   1 insertion	techniques
   1 insertion	the phakeddb database
   1 installation	an unused service
   1 installers	engineering files
   1 installers	installers
   1 installing	systems
   1 installs Emissary	a service
   1 instance	PlayfullDragon
   1 instance	drivers
   1 instances	APT groups
   1 instant messaging	other communication mechanisms
   1 institutions	partners
   1 integers	types
   1 intellectual property	Strategic information
   1 intellectual property	access sensitive information
   1 intellectual property	data
   1 intellectual property theft	purposes
   1 intelligence	part
   1 intelligence services	profiles
   1 intended usage	a tool
   1 interest	overlaps
   1 interest	the beacon
   1 interesting	this case
   1 interesting malware	part
   1 internal infrastructure	s operation
   1 internal memoranda	data
   1 internal network	C
   1 internal tool	conventions
   1 international engagement	activities
   1 international humanitarian law	international law
   1 international law	a use
   1 intimidation	Ukraine
   1 intrusion detection systems	protection measures
   1 investigations	activities
   1 investor relations	services
   1 invitations	recipient
   1 ipconfig	commands
   1 jail time	forms
   1 jewelry	attributes
   1 jewelry	goods
   1 judicial police	directorates
   1 kaveh	aliases
   1 kernel	names
   1 kernel mode drivers	modules
   1 key logging	RATs
   1 key logging	tasks
   1 keyboard	intelligence
   1 keylogger	commands
   1 keyloggers	information gathering tools
   1 keylogging	functions
   1 keylogging	share the same basic functionality
   1 keys	custom activity records
   2 keys	keys
   1 keystroke logging	functionalities
   1 keystrokes	attackers
   1 keyword	censorship
   1 keywords	this operation
   1 kill processes	actions
   1 kinds	events
   1 kits	means
   1 language	system information
   1 language barriers	countries
   1 language settings	Clues
   1 lateral movement	actions
   1 lateral movement	attacker methodologies
   1 lateral movement	phases
   1 law	services
   1 law enforcement	anyone
   1 law enforcement	entities
   1 law firms	a business deal
   1 law firms	parties
   1 leaks	methods
   1 legal counsel	services
   1 legitimacy	a document
   1 legitimate filename	a decoy
   1 legitimate news	websites
   1 legitimate news articles	lures
   1 legitimate remote access software	components
   1 legitimate traffic	indicators
   1 length	requirements
   1 li32	methods
   1 libaudio	files
   1 links	belonging
   1 links	download
   1 links	files
   1 list	measures
   1 lists	data structures
   1 lists	recipient
   1 lists VPSNOC	the registrant organization
   1 load	performance parameters
   1 loaders	components
   1 local administrator credentials	a method
   1 local host acts	a command
   1 localhost	a means
   1 location	internal information
   1 logical measure	attackers
   1 logistics	directorates
   1 logistics support	sensitive information
   1 logs harder	C
   1 lookouts	elements
   2 loss	impacts
   1 losses	an outcome
   1 mac	systems
   1 macOS	platforms
   1 machine serves	a network pivot
   1 machines	C
   1 macros	a delivery method
   1 macros	features
   1 magnetic card systems	physical security devices
   1 mail	the firewall
   1 mail	words
   1 mail servers	systems
   1 maintenance	years
   1 malicious PowerPoint attachments	means
   1 malicious code	an effort
   1 malicious module	system service HKLM
   1 malicious software	others
   1 malicious traffic	Internet Explorer
   1 malware	Backdoor
   1 malware	a 
   1 malware	a legitimate file
   1 malware	a mechanism
   1 malware	a software deployment task
   1 malware	an attachment
   1 malware	computers
   1 malware	documents
   1 malware	elements
   1 malware	files
   1 malware	indicators
   1 malware	resources
   1 malware	tactics
   1 malware	techniques
   1 malware	threats
   1 malware	years
   1 malware architecture	Prikormka malware
   1 malware code	part
   1 malware samples	data
   1 malware samples	indicators
   1 malware samples	suspected Russian cyber operations
   1 malware version number	data
   2 malware	activities
   1 malwares	weapon
   1 management systems	place
   1 manipulating processes	functions
   1 manual online hacking	means
   1 manufacturer	handset metadata
   1 manufacturers	organizations
   1 manufacturing	activities
   1 manufacturing	part
   1 many other security vendors	an automatic test system
   1 maps	elements
   1 maps	valuable information
   1 maritime agencies	entities
   1 marketing campaigns	operations
   1 masquerades	a copy
   1 masquerades	a downloader
   1 masquerades	sent
   1 mass graves	the Ukrainian army
   1 means	cyber attacks
   1 media	a prominent threat vector
   1 media	domains
   1 media	financial industry
   1 media	industries
   1 media	sectors
   1 media	the Estonian economy
   1 media applications	applications
   1 media attention	a bonus
   1 media attention	officials
   1 media entities	Soviet Union
   1 media exposure	APT12
   1 media groups	organizations
   1 media users	the conflict
   1 media websites	websites
   1 memory	a linked list
   1 memory	a module
   1 memory	a process
   1 menacing forms	malware
   1 mention	the attack campaigns
   1 merah	aliases
   1 messages	a mechanism
   1 messages	data
   1 messages	drafts
   1 metadata	the discussed pisloader sample
   1 method	SPACESHIP
   1 methods	examples
   1 methods XOR XOR Using USB	storage Yes
   1 microchips	states
   1 microphone	devices
   1 microphone	intelligence
   1 microphones	devices
   1 microphones	peripherals
   1 migrations	factors
   1 militaries	Soviet Union
   1 militaries	a source
   1 military duty	an honor
   1 military training	members
   1 military training	skills the regime
   1 mimikatz	credential theft tools
   1 miniDionis	JSON blob
   1 mining	sectors
   1 ministries	Executive Summary Diplomatic missions
   1 ministries	countries
   1 ministries	missions
   1 ministries	organizations
   1 ministries	targets
   1 minutes	a detailed timestamp
   1 minzhu	words
   1 mission	commander
   1 misspelling	match
   1 mistakes	high profile threats
   1 mobile phone numbers	a way
   2 mobile	the primary threat vectors
   1 modes	a network sniffer
   1 modification	configuration settings
   1 module identification POST 	v1 HTTP POST
   1 modules	C server
   1 modules	ICS hardware
   1 modules	a list
   1 modules	a single data
   1 modules	resources RPC
   1 money	a motive
   1 monitoring	national security topics
   1 monitoring	some degree
   1 monitoring	this attack
   1 motive	indicators
   1 mouse clicks	simulation actions
   1 mouse movement	an anti
   1 mouse movement	simulation actions
   1 move file	commands
   1 movies	IT details
   1 ms pschedmp	an alternative connection
   1 multiple communication channels	a failsafe
   1 mutexes	samples
   1 nahoonservices	stocks
   1 name	things
   2 name	victims whereabouts
   1 names	stages
   1 names	strings
   1 names	the legitimate msi
   1 names	things
   1 nanotechnology	areas
   1 nation	system information
   1 national identification numbers	systems
   1 national security	areas
   1 nationalism	feelings
   1 nations	a show
   1 nations	adversaries
   1 nationwide censorship campaigns	censorship
   1 natural gas distribution	systems
   1 nature	a virus
   1 negotiation strategies	access sensitive information
   1 negotiations	data
   1 netblock	the address
   1 netcat	world
   1 network	a single compromise
   1 network	intelligence
   1 network	part
   1 network	systems
   1 network country	network metadata
   1 network data	national security topics
   1 network domain controllers	several computer systems
   1 network information	documents
   1 network monitoring	features
   1 network monitoring activities	technical interrogation
   1 network name	information
   1 network operator	network metadata
   1 network port forwarding	features
   1 network shares	drives
   1 network traffic	Yahoo
   1 network traffic	the header
   1 network type	network metadata
   3 network security firewall use	mechanisms
   1 networks	worms
   1 new persistence creation	attacker methodologies
   1 new process	current user
   1 new software tools	technologies
   1 news	financial industry
   1 news	lures
   1 news	other domain names
   1 news	s homepage
   1 news	words
   1 news sites	lures
   1 no database	such present
   1 no simple fix	the capability
   1 no such thing	a 
   1 no such thing	onesize
   1 none	English words
   1 none	binaries
   1 none	captions
   1 none	files
   1 none	indicators
   1 none	observations
   1 none	parameters
   1 none	processes
   1 none	sequences
   1 none	tactics
   1 none	techniques
   1 none	timers
   1 none	victims
   1 none	vulnerabilities
   4 none	servers
   1 nonprofits	evidence
   1 nonprofits	organizations
   1 notes	the primary method
   1 nuance	the information
   2 nuclear energy	topics
   1 number	system data
   1 number mapping	information
   1 numbers	data
   1 numbers	plugin identifiers
   1 numbers	systems
   1 obfuscated code	a 
   1 obfuscation	USENIX Security Symposium USENIX Association tion
   1 objects	a percentage
   1 office employees	working hours
   1 oil	energy companies
   1 oil	industries
   1 oil production circles	the oil
   1 oil refineries	critical infrastructure firms
   1 oledump	available tool
   1 ones	part
   1 online login credentials	sensitive information
   1 online stores	websites
   1 openssl	utilities
   1 operating system	details
   1 operating system version	basic system information
   1 operating system version	the computer
   1 operational support	directorates
   1 operations	STUXNET
   1 operations	a tailored solution
   1 operations	forms
   1 operators	reconnaissance malware
   1 organised crime syndicates	other threat actors
   1 organization	a likely culprit
   1 organization employees	organizations
   1 organizations	APAC region
   1 organizations	actors
   1 organizations	entities
   1 organizations	organizations
   1 organizations	states
   1 organizations	targets
   1 origin	http
   1 other code Email	C2 Re
   1 other common network services	network devices
   1 other security firms	part
   1 others	APT malware
   1 others	JRE
   1 others	apps
   1 others	functions
   1 others	languages
   1 others	network security firms
   1 others	organizations
   1 others	other malware
   1 outbound traffic	data exfiltration
   1 overlaps	iSight refer
   1 own Apollonian curse	intelligence agencies
   1 own body	the first step
   1 own form	cyber conflict the rhetoric
   1 packages	the parent process
   1 packets	commands
   1 packing	USENIX Security Symposium USENIX Association tion
   1 pal4u	Cs
   1 parameter	number
   1 part	incorrect placement
   1 particular interest	the malware
   1 partners	stakeholders
   1 partnership agreements	intellectual property
   1 partnership agreements	valuable intellectual property
   1 parts	China
   1 party	levels
   1 password	an administrator
   1 password capture	server
   1 password stealing	purposes
   1 password theft	RATs
   1 passwords	IT details
   1 passwords	an infected computer
   1 passwords	capture online banking credentials
   1 passwords	data
   1 passwords	personal information
   1 passwords	the keylogger records data
   1 passwords	user credentials
   2 passwords	artifacts
   2 passwords	credentials
   1 paths	drives
   1 paths	the actual malware
   1 patterns	passwords
   1 payload	PowerShell script
   1 payload	Python
   1 payload	the phone
   1 payloads	drivers
   1 payloads ZeroT	payloads The attack group
   1 payment processing capabilities	compromises
   1 payment providers	financial industry
   1 peer	file transfer applications
   1 peer hostnames	configurations
   1 penetration	routine security operations
   1 people	campaigns
   1 perform	a command line shell
   1 perimeter controls	other defense mechanisms
   1 periodic event log clearing	measures
   1 peripherals	ICS hardware
   1 pernicious form	malware
   1 persistent control	these system
   1 personal email accounts	major global news outlets
   1 personalities	the 
   1 petabytes	a whole 
   1 phase	VOHO campaign
   1 phishing	Techniques
   1 phishing	a malware delivery method
   1 phishing	disposal
   1 phishing	forms
   1 phishing	tactics
   1 phishing	vector
   1 phone	devices
   1 phone calls	communication
   1 phone number	network metadata
   1 phone screen	AMAP SDK Check
   1 phone type	network metadata
   1 phones	US electronics
   1 photo uploading	available free web sources
   1 photographs	Arabic text
   1 photos	materials
   1 photos	open source information
   1 photos	personal information
   1 pic	words
   1 picks	names
   1 pictures	part
   1 pictures	victim data
   1 piracy hacktivists	attackers
   1 place	a last resort
   2 place	victims whereabouts
   1 platform	Figure
   1 platforms	a result the list
   1 plugin	HDD 
   1 policy	any speaker
   1 policy papers	data
   1 political dynamite	access sensitive information
   1 political espionage	motives
   1 political espionage	part
   1 political think tanks	organizations
   1 politics	websites
   1 popular search engines	channels
   1 pornography	categories
   1 port	options
   1 port	the parameter
   1 port numbers	additional information
   1 ports	stocks
   1 position	the global leader
   1 poss ble malicious code	any suspicious activity
   1 post offices	locations
   1 power	services
   1 power	systems
   1 power flows	variables
   1 power grids	critical infrastructure firms
   1 power plant	a specific industrial control system
   1 power plants	systems
   1 powers	a manifestation
   1 practice	many security teams
   1 practitioners	years
   1 precision injection molding	manufacturing processes
   1 presence	Collect system information
   1 presence	an illegal occupation
   1 pressure	performance parameters
   1 prevents threat	all remote access solutions
   1 previous path	argument
   1 pricing documents	intellectual property
   1 pricing documents	valuable intellectual property
   1 priority	options
   1 private industry	discussions
   1 privileges	a result
   1 privileges	the computer
   1 probable explanation	the malware
   1 procedures	PLA soldiers
   1 process list	the infected computer
   1 process manipulation	functionality
   1 processes	a command line shell
   1 processes	a means
   1 processes	data
   1 product	handset metadata
   1 product designs	stole intellectual property
   1 programs	unwanted software
   1 project	conventions
   1 project files	drives
   1 project logic	engineering files
   1 prolific criminal profit	evidence
   1 proprietary manufacturing processes	intellectual property
   1 proprietary manufacturing processes	valuable intellectual property
   1 protection	civilians
   1 protocol design	a family
   1 proxies	Acquire network information
   1 proxies	actors
   1 proxies	cyber attacks
   1 proxies	log files
   1 proxy	Features
   1 proxy	crucial gateway systems
   1 proxy server address	options
   1 public identity	a diversion
   1 publication	channels
   1 publishers	sources
   1 purchase	part
   3 purposes	part
   2 pwdump	Internet
   1 quality assurance	individuals
   1 question	JavaScript file
   1 question	a standardized reference
   1 ramFS serves	protected storage
   2 randomization	functionality
   2 randomization classes	framework
   1 ransomware attacks	North Korea
   1 rare earth metals	resources
